split,seed,model,estimates,dimension,group,rows,mae,rmse,log_rmse
group,42,histgb,True,price_band,100k-250k,11793,39258.210630069676,52081.1064922481,0.32575560758392097
group,42,histgb,True,price_band,250k-500k,8375,55996.9794353344,74509.8810488643,0.24440116026323944
group,42,histgb,True,price_band,500k-1m,2320,102573.15182150589,132489.77679713123,0.2693194783492162
group,42,histgb,True,Property Class,202,4509,39514.775739997895,60334.87254519965,0.41108916006936197
group,42,histgb,True,Property Class,203,13325,42045.98975959755,59891.07468318477,0.34832576701937984
group,42,histgb,True,Property Class,204,1664,60464.29695215938,80192.84402144352,0.3120493458438186
group,42,histgb,True,Property Class,205,2760,58171.3699620979,80377.02554036073,0.3712792609456006
group,42,histgb,True,Property Class,206,719,87168.89763486893,110204.3716401947,0.3415196277077423
group,42,histgb,True,Property Class,207,1255,40450.68469885375,55183.98378884825,0.26887854845526704
group,42,histgb,True,Property Class,208,212,81994.09812120517,107221.910312939,0.21032373680724817
group,42,histgb,True,Property Class,209,30,127860.73214147982,166569.71893140388,0.43734087585515025
group,42,histgb,True,Property Class,278,3147,57833.72754818138,79597.604635978,0.25463107949555996
group,42,histgb,True,Town Code,10,168,81399.3720669782,113808.46254119677,0.3175442595583307
group,42,histgb,True,Town Code,11,509,46088.541968488695,63399.71716909778,0.3410480200862763
group,42,histgb,True,Town Code,12,676,31984.68924030697,45055.51922144834,0.4200401783833675
group,42,histgb,True,Town Code,13,844,34026.56856381722,43799.63250256325,0.39314113500981707
group,42,histgb,True,Town Code,14,84,34498.771230267484,43770.67312229011,0.5797698019978451
group,42,histgb,True,Town Code,15,367,32023.497087499105,42701.9208933917,0.3644548874013651
group,42,histgb,True,Town Code,16,548,44936.125712438545,62869.50601278064,0.22916914032218585
group,42,histgb,True,Town Code,17,264,82054.65669710668,102579.98154356434,0.2927900080767728
group,42,histgb,True,Town Code,18,842,30363.219465784397,40501.54515674818,0.20810959789270916
group,42,histgb,True,Town Code,19,192,53432.611866055675,73851.4330360506,0.2315925135220229
group,42,histgb,True,Town Code,20,796,36766.78688738257,49008.56153122827,0.27865678064793087
group,42,histgb,True,Town Code,21,774,61680.33290159038,85919.45930954895,0.33075749211524047
group,42,histgb,True,Town Code,22,867,53186.55731194979,73191.62993333353,0.22663179898873084
group,42,histgb,True,Town Code,23,300,86872.40851689133,103879.96153389741,0.21428427863621802
group,42,histgb,True,Town Code,24,719,52259.483751341555,72170.75971916031,0.22625290773655102
group,42,histgb,True,Town Code,25,579,77033.08393944005,101558.67615447112,0.2595226797272548
group,42,histgb,True,Town Code,26,295,48364.32736612971,68329.4225464505,0.2229391922771607
group,42,histgb,True,Town Code,27,414,76470.71078695562,104134.51261258531,0.2816490685758951
group,42,histgb,True,Town Code,28,554,40698.307091929506,57555.72744814003,0.22117213922495169
group,42,histgb,True,Town Code,29,845,49086.28763895347,69743.17560144044,0.21108863262448974
group,42,histgb,True,Town Code,30,283,52151.06001162424,73197.27106642169,0.30871233249850616
group,42,histgb,True,Town Code,31,1477,42666.00598963625,62220.612394915406,0.375963782461574
group,42,histgb,True,Town Code,32,740,32027.188481702604,41861.983147264444,0.36101332592980023
group,42,histgb,True,Town Code,33,92,89973.12553229541,114807.31004948667,0.22755484598398254
group,42,histgb,True,Town Code,34,178,55429.637719805694,77066.12965012275,0.25134324329110036
group,42,histgb,True,Town Code,35,772,37574.149330623404,51753.786593363366,0.20976473388653916
group,42,histgb,True,Town Code,36,360,36519.96048626357,50887.19251949231,0.34577810691499583
group,42,histgb,True,Town Code,37,1151,27143.993286907746,36784.469803905806,0.44011356144779906
group,42,histgb,True,Town Code,38,1136,51085.08283433306,70872.4133134897,0.22223214064579824
group,42,histgb,True,Town Code,39,1120,33640.175022942974,45223.530101466626,0.3016795668273299
group,42,histgb,True,Town Code,70,1313,43502.10687964191,62463.62634855498,0.536673919802473
group,42,histgb,True,Town Code,71,3244,62968.33426188643,87735.94433961697,0.30845918556472873
group,42,histgb,True,Town Code,72,3729,39312.032641869024,53358.681651224775,0.4235907603150468
group,42,histgb,True,Town Code,73,185,95008.55906901855,118352.12599859269,0.26230773062903734
group,42,histgb,True,Town Code,74,13,154390.21303957354,233760.34601725722,0.9107179905720518
group,42,histgb,True,Town Code,75,168,71876.18276378619,93681.24345505779,0.2805080927946876
group,42,histgb,True,Town Code,76,230,62879.712615060074,88090.8521683553,0.3839190891884707
group,42,histgb,True,Town Code,77,793,60384.430631227144,82712.52070332535,0.48737116167995537
group,42,histgb,False,price_band,<100k,5133,28710.454001644703,42031.990397527676,0.5276225466936145
group,42,histgb,False,price_band,100k-250k,11793,39210.59140103848,51767.81225097017,0.32122831304911936
group,42,histgb,False,price_band,250k-500k,8375,55503.2371045316,73839.60400795637,0.24076095588315874
group,42,histgb,False,price_band,500k-1m,2320,110573.96911081669,141636.76476412566,0.2870854829657507
group,42,histgb,False,Property Class,202,4509,39843.104313777454,61351.69973916429,0.40834710023848936
group,42,histgb,False,Property Class,203,13325,42677.26470132034,61194.226194897674,0.3509678898499338
group,42,histgb,False,Property Class,204,1664,59996.4181882505,80708.56054596517,0.3046402990567629
group,42,histgb,False,Property Class,205,2760,59991.80150102649,83072.00241504048,0.37553919721655865
group,42,histgb,False,Property Class,206,719,87626.32449769543,112701.10527819788,0.3372298259866537
group,42,histgb,False,Property Class,207,1255,42061.90203393073,57215.512816775765,0.2734527884276574
group,42,histgb,False,Property Class,208,212,80479.52728386773,103528.05986152483,0.21100134005834742
group,42,histgb,False,Property Class,209,30,134795.61716750576,184373.77240504674,0.4354104781050166
group,42,histgb,False,Property Class,278,3147,57361.747601146075,78894.01395310153,0.2488570315904686
